meaning,count,attribute
곳,8597,0
다음,6392,0
내리다,5617,15
차내리다,5083,0
도착,4073,15
저기,3881,0
가다,3491,0
맞다,2668,17
방법,1769,0
지하철,1767,0
실종,1740,0
무엇,1684,15
전,1601,0
안되다,1415,15
길,1359,0
버스,1311,0
여기,1260,15
목적,1215,0
잃어버리다,1182,0
찾다,1088,0
보다,1060,0
카드,1034,0
사용,864,0
없다,795,15
에어컨,736,48
오케이,672,0
고장,669,0
나사렛,621,16
샛길,582,0
택시,560,0
불량,559,0
신호등,555,0
잘,480,0
공항,462,0
불가능,455,0
단말기터치,455,0
은행,446,0
우회전,443,2
명동,442,0
확인,438,0
건너다,433,0
사거리,426,0
자판기,416,0
좌회전,414,0
돈,413,80
경찰,384,0
기차,379,0
지름길,377,0
병원,375,0
물품보관,374,0
죽다,368,0
시청,368,16
종로,367,0
송파,366,0
되다,356,2
시간,355,0
여의도,353,0
언덕,352,0
켜다,352,0
한국농아인협회,350,16
학교,344,0
청음회관,336,16
서울대학교,336,0
보건소,336,0
119,335,0
사라지다,334,0
갈아타다,330,0
이화여대,320,0
편지,320,0
서대문농아인복지관,320,16
터널,320,0
대로,320,0
육교,320,0
서울농아인협회,320,16
백화점,320,0
맥도날드,320,0
군청,319,0
차,319,0
가능,317,15
아이,305,0
파리바게트,304,0
영등포,303,0
가방,302,0
손바닥찍다,300,0
곳곳,295,15
스타벅스,288,0
끄다,288,0
이마트,288,0
3,273,0
난방,272,16
빨리,269,15
우산,256,0
지갑,256,0
아파트,256,0
열쇠,255,0
원하다,255,0
안,246,0
유턴,240,0
영수증,240,0
1호,240,15
있다,238,14
지금,223,0
핸드폰,208,0
엘리베이터,207,0
접근,207,0
서울역,197,0
뒤,192,0
트렁크열다,185,0
다시,181,13
유리,180,0
물건,175,0
번호,173,0
고속터미널,166,0
올리다,160,0
공기청정기,160,0
차밀리다,160,16
계단,154,0
응급실,150,0
약,145,0
따뜻하다,144,0
사진기,144,0
알려주다,132,0
다르다,128,0
반지,128,0
시계,128,0
노트북,128,0
괜찮다,128,15
계산,128,0
9호,128,15
필요,127,15
편의점,126,0
주차,125,0
떨어지다,120,0
도움받다,120,0
춥다,113,0
엉덩이,112,0
얼마,112,0
문,112,0
의자,112,0
뼈곳,109,0
가깝다,107,0
알려받다,105,0
받다,98,0
급하다,97,15
짐,96,0
꺼지다,96,0
안내소,96,0
기다리다,96,0
들어올리다,94,0
사다,94,0
쓰러지다,93,0
화장실,93,0
고속,92,0
안내하다,90,0
걷다,87,0
12,82,0
알다,81,30
설명,81,0
10분,81,0
부르다,81,0
회의실,80,0
천안아산역,80,0
보청기,80,0
몇호,80,1
몇분,80,1
나,78,15
지도,77,0
돈주다,76,0
서울,75,0
철로,75,0
지연되다,75,0
표,66,15
안전벨트,65,0
8호,64,0
기본,64,0
차두다,64,0
막히다,64,0
만원,64,15
함구,64,0
근근이,64,0
결점,64,0
안경,64,0
틀리다,64,0
유구무언,64,0
불편하다,64,16
얕보다,64,0
뻔뻔,63,0
어렵다,63,0
좋다,63,15
어린이집,62,0
결심,62,0
남다,62,0
첫차,61,0
교환하다,61,0
문안열리다,60,0
정기권,60,0
나르다,60,0
타다,60,15
잘못하다,59,0
또,59,0
충전,59,0
바꾸다,57,0
왼쪽,52,15
주다,52,0
딱,50,0
5분,50,0
충무로,50,0
을지로,50,0
오른쪽,50,15
1,49,0
역무원,49,0
3시,49,0
1시,49,0
1회,49,0
격노,49,0
아프다,48,0
아직,48,0
천호,48,0
욕하다,48,0
냄새,48,0
내뱉다,48,0
판박이,48,0
맥없다,48,0
지불하다,48,0
무자비,48,0
순식간,48,0
운전,48,0
틈,48,0
포기,48,0
모르다,48,0
12시,48,0
40분,48,0
봐주다,48,0
아하,48,0
대출,48,0
아부,48,0
당신,48,0
화나다,48,16
빌리다,48,0
놀랍다,48,0
무례,47,0
잠깐,47,0
신촌,47,0
거만,47,0
힘들다,47,0
폐업,47,0
약수,47,0
의문,47,0
돕다,47,0
1시간,47,0
돈받다,46,0
거지,46,0
사람,46,0
막차,46,0
천천히,45,0
교통카드,45,0
꼿다,45,0
야단치다,45,0
배려,45,0
전화걸다,45,0
국립박물관,45,0
도와주다,45,0
밉다,45,0
오천원,45,15
초대,44,0
째려보다,44,0
자다,44,0
때리다,44,0
뚱뚱하다,44,0
검사,41,0
어떻게,39,15
잘못,37,0
충정로,34,0
분당,34,0
선정릉,34,0
대학로,34,0
강요,33,0
동대문,33,0
왕십리,33,0
까치산,33,0
종로3가,33,0
노원,33,0
끝,33,0
도봉산,33,0
첫째,33,0
동작,33,0
청량리,33,0
밤,33,0
이태원,33,0
반대,33,0
5호,32,0
대물림,32,0
추가,32,0
연구,32,0
카페,32,0
체온,32,0
형편없다,32,0
팔,32,0
대박,32,0
기피하다,32,0
보이다,32,0
인색하다,32,0
내역,32,0
유치하다,32,0
의혹,32,0
난감하다,32,0
음주운전,32,0
더디다,32,0
제발,32,0
수고,32,0
경남농아인협회,32,0
대들다,32,0
한달,32,0
일요일,32,0
재량,32,0
항상,32,15
뽐내다,32,0
일어나다,32,0
일시불,32,0
퇴사,32,0
돈얼마,32,16
끊다,32,0
50분,32,0
일출,32,0
험담,32,0
신분증,32,15
겸임,32,0
신고,32,0
일몰,32,0
알아차리다,32,0
불경,32,0
적격,32,0
하늘,32,0
장마,32,0
늦다,32,0
상상,32,0
표리부동,32,0
동상이몽,32,0
어지럽다,32,0
배,32,0
조심,32,0
양자택일,32,0
2호,32,15
무시하다,32,0
달변,32,0
찔리다,32,0
공범,32,0
자전거,32,0
아니다,32,16
탕진,32,0
십,32,0
심하다,32,0
강남,32,0
원래,32,15
그만,32,0
약속,32,0
솔직히,32,0
회복,32,0
배고프다,32,0
뜻밖,32,0
아기,32,0
뛰어나다,32,0
하나,32,0
이천,32,0
위인,32,0
필요없다,32,16
잠실,32,0
해하다,32,0
십억,32,0
3호,32,0
똑똑하다,32,0
귀엽다,31,0
눈,31,0
공식,31,0
우습다,31,0
당황,31,0
평가,31,0
중독,31,0
충분하다,31,15
복습,31,0
맹세,31,0
직인,31,0
불신,31,0
비상식적,31,0
대략,31,0
예민,31,0
들키다,31,0
충분,31,0
사별,31,0
갈색,31,0
독특,31,0
안타깝다,31,0
황소고집,31,0
못하다,31,0
횡단보도,31,0
감옥,31,0
구조,31,0
용산역,30,0
카톡보내다,30,0
전문,30,0
발생하다,30,15
서구지부,30,0
귀찮다,30,0
중구지부,30,0
장애인복지카드,30,15
세뇌,30,0
중구주민지원센터,30,0
집중,30,0
여자,30,0
마포대교,30,0
의미,30,0
옷가게,30,0
누적사용,30,0
문자보내다,30,0
서구주민지원센터,30,0
오다오다,30,0
남자,30,0
달래다,30,0
고난이도,30,0
차따라가다,30,15
서다,30,0
위아래,30,0
문자받다,30,0
밀거래,30,0
주세요,30,0
무덤덤,30,0
어린이교통카드,30,0
트렁크닫다,30,0
후,30,0
미리,30,0
결승전,30,0
무식,30,0
신분당,30,0
남녀,30,0
위험,30,15
잠실대교,30,0
실수하다,30,14
견습,30,0
해보다,30,0
그남자,30,0
지하철오다,30,0
싫다,30,0
신기,30,0
알아서,30,0
4사람,30,14
중구수어통역센터,29,0
살인,29,0
서구수어통역센터,29,0
담당,29,0
떨다,29,0
몸,29,0
우유,29,0
도로,25,0
쥐,24,0
포천,23,0
1달,21,0
여기로,20,0
느리다,19,0
위,19,0
다리,19,0
어디,19,0
저,19,0
4명,19,0
빠르다,19,0
첫번째,19,0
난계로,18,0
난곡로,18,0
48분,18,0
10km,18,0
금정구수어통역센터,18,0
낙성대역길,18,0
강화군수어통역센터,18,0
김상옥로,18,0
창피하다,18,0
오다,18,0
걱정,18,0
휴학,18,0
상주시청,18,0
양산길,18,0
장애인,18,0
가락로,18,0
마포대로,18,0
금낭화로,18,0
상암로,18,0
은행나무로,18,0
형촌길,18,0
실수,18,0
마지막,18,0
속초시청,18,0
방화대로,18,0
영등포시장,17,0
당진시지부,17,0
도산대로,17,0
도봉산길,17,0
당산,17,0
도산공원,17,0
당산로,17,0
월드컵북로,17,0
도봉로,17,0
새정길,17,0
이대,17,0
원신길,17,0
의상봉길,17,0
원터길,17,0
지봉로,17,0
새원길,17,0
대사관로,17,0
도곡,17,0
대서문길,17,0
원효로,17,0
월계로,17,0
부광로,17,0
백육십구,17,0
대장로,17,0
진관길,17,0
덕수궁길,17,0
봉화산로,17,0
월곡로,17,0
덕수궁,17,0
대학길,17,0
의사당대로,17,0
백운길,17,0
대흥로,17,0
대방천로,17,0
도곡로,17,0
도구로,17,0
새말로,17,0
대곡,17,0
월드컵로,17,0
진흥로,17,0
진황도로,17,0
원인재,17,0
영신로,17,0
새문안로,17,0
도림천로,17,0
도당로,17,0
