"영상 번호","의문사있는 의문형","한국어 번역","형태소 개수","한국수어 형태소","","","","","","",""
"0001","","왼쪽입니다.","1","왼쪽","","","","","","",""
"0002","X","왼쪽이요?","1","왼쪽","","","","","","",""
"0003","","오른쪽입니다.","1","오른쪽","","","","","","",""
"0004","X","오른쪽이요?","1","오른쪽","","","","","","",""
"0005","","이것입니다.","1","여기","","","","","","",""
"0006","X","이것인가요?","1","여기","","","","","","",""
"0007","","저것입니다.","1","저기","","","","","","",""
"0008","","저것인가요?","1","저기","","","","","","",""
"0009","","천천히 가주세요.","2","운전","천천히","","","","","",""
"0010","","천천히 가드릴까요?","2","운전","천천히","","","","","",""
"0011","","빨리 가주세요.","2","운전","빨리","","","","","",""
"0012","","빨리 가드릴까요?","2","가다","빨리","","","","","",""
"0013","","제가 많이 급합니다.","2","시간","급하다","","","","","",""
"0014","","많이 급하세요?","2","시간","급하다","","","","","",""
"0015","","제가 좀 급합니다.","1","급하다","","","","","","",""
"0016","X","급하세요?","1","급하다","","","","","","",""
"0017","","제가 (약속시간)에 늦었습니다.","2","약속","늦다","","","","","",""
"0018","","(약속시간)에 늦으셨나요?","2","약속","늦다","","","","","",""
"0019","","접니다","1","나","","","","","","",""
"0020","X","저요?","1","나","","","","","","",""
"0021","","당신입니다.","1","당신","","","","","","",""
"0022","","그쪽이세요?","1","당신","","","","","","",""
"0023","","이 분입니다.","2","그남자","맞다","","","","","",""
"0024","","이 분이죠?","2","그남자","맞다","","","","","",""
"0025","","제가 잘못 알려드렸습니다.","2","말하다","잘못","","","","","",""
"0026","","잘못 알려주신건가요?","2","말해주다","잘못","","","","","",""
"0027","","위험합니다.","1","위험","","","","","","",""
"0028","X","위험한가요?","1","위험","","","","","","",""
"0029","","늘 그렇습니다.","1","항상","","","","","","",""
"0030","X","늘 그런가요?","1","항상","","","","","","",""
"0031","","원래 그렇습니다.","1","원래","","","","","","",""
"0032","X","원래 그런가요?","1","원래","","","","","","",""
"0033","","(오천원)입니다.","1","오천원","","","","","","",""
"0034","X","(오천원)인가요?","1","오천원","","","","","","",""
"0035","","(만원)입니다.","1","만원","","","","","","",""
"0036","X","(만원)인가요?","1","만원","","","","","","",""
"0037","","기본 요금은 (오천원)입니다.","3","택시","기본","오천원","","","","",""
"0038","","기본 요금은 얼마인가요?","4","택시","기본","돈","얼마","","","",""
"0039","","기본 요금은 (만원)입니다.","3","택시","기본","만원","","","","",""
"0040","","기본 요금이 (만원)인가요?","3","택시","기본","만원","","","","",""
"0041","","(요금) 확인해주세요.","4","돈","얼마","맞다","확인","","","",""
"0042","","(요금)을 확인하셨어요?","4","돈","얼마","맞다","확인","","","",""
"0043","","(심야 할증 요금)이 적용됩니다.","5","밤","12시","후","돈","추가","","",""
"0044","","(심야 할증 요금)이 적용되나요?","5","밤","12시","후","돈","추가","","",""
"0045","","(고속도로 통행료)를 내야 합니다.","2","고속","돈주다","","","","","",""
"0046","","(고속도로 통행료)를 내야 하나요?","2","고속","돈주다","","","","","",""
"0047","","(현금)도 됩니다.","3","택시","돈","되다","","","","",""
"0048","","(현금)도 되나요?","3","택시","돈","되다","","","","",""
"0049","","(장애인 복지) 카드입니다.","1","장애인복지카드","","","","","","",""
"0050","X","(장애인 복지) 카드인가요?","1","장애인복지카드","","","","","","",""
"0051","","(아이 교통) 카드입니다.","1","어린이교통카드","","","","","","",""
"0052","","(아이 교통) 카드도 되나요?","2","어린이교통카드","되다","","","","","",""
"0053","","(1회용) 카드입니다.","2","카드","1회","","","","","",""
"0054","","(1회용) 카드도 되나요?","3","카드","1회","되다","","","","",""
"0055","","지금 카드를 충전하겠습니다.","3","지금","카드","충전","","","","",""
"0056","","지금 카드를 충전할 수 있나요?","4","지금","카드","충전","가능","","","",""
"0057","","요금을 지불하셔야 합니다.","1","돈받다","","","","","","",""
"0058","","요금을 지불하셨나요?","2","돈받다","끝","","","","","",""
"0059","","(승차권)을 구입하셔야 합니다.","2","표","사다","","","","","",""
"0060","","(승차권)을 구입하셨나요?","2","표","사다","","","","","",""
"0061","","(계산)을 잘못하였습니다.","3","돈","계산","잘못하다","","","","",""
"0062","","(요금)이 맞지 않나요?","3","돈","계산","틀리다","","","","",""
"0063","","(열차 배차 시간)이 맞지 않습니다.","4","지하철","시간","일정하다","위아래","","","",""
"0064","","(열차 배차 시간)이 일정한가요?","3","지하철","시간","딱","","","","",""
"0065","","(인원 수)가 맞지 않습니다.","3","사람","계산","잘못하다","","","","",""
"0066","","(인원 수)가 맞지 않나요?","3","사람","계산","틀리다","","","","",""
"0067","","다시 해보세요.","1","다시","","","","","","",""
"0068","X","다시 해볼까요?","1","다시","","","","","","",""
"0069","","(1호선)입니다.","1","1호","","","","","","",""
"0070","X","(1호선)인가요?","1","1호","","","","","","",""
"0071","","(2호선)입니다.","1","2호","","","","","","",""
"0072","X","(2호선)인가요?","1","2호","","","","","","",""
"0073","","(9호선)입니다.","1","9호","","","","","","",""
"0074","X","(9호선)인가요?","1","9호","","","","","","",""
"0075","","여기는 (명동역)입니다.","3","여기","명동","지하철","","","","",""
"0076","","여기가 (명동역)인가요?","3","여기","명동","지하철","","","","",""
"0077","","여기는 (신촌역)입니다.","3","여기","신촌","지하철","","","","",""
"0078","","여기가 (신촌역)인가요?","3","여기","신촌","지하철","","","","",""
"0079","","여기는 (서울역)입니다.","3","여기","서울","지하철","","","","",""
